GID,14312
PAY,71628
BRG,71971
YCR,96656
FRV,44468
JEA,50557
IAZ,5080
TLK,59811
IIQ,51303
PVG,9280
IJU,70724
CNK,8068
GCS,93909
NDA,62906
CIJ,14142
NNB,87019
ZFY,35978
SKY,64820
TOR,73485
PDR,61592
ENA,23137
LJV,76897
JBZ,22018
EGC,56070
JTJ,66528
NPH,22255
ASO,21737
LTX,42075
UEO,89075
KOE,54658
ZCY,85571
SNQ,14931
INR,17215
LWZ,6173
HML,86817
KHU,95674
OWS,57788
UIU,77572
KWL,86882
DJY,61245
OYY,94795
BHX,47771
SRB,25820
NSS,74458
THW,32162
XSV,51253
MBI,27330
XFO,94831
LQO,51197
UZU,56058
GUN,6913
PKX,51645
CPB,67416
ARH,68938
WYP,73783
GKV,32429
BKE,32581
WMR,88280
PGT,37194
LZC,21466
FBB,30826
YVT,68461
EKR,44148
IEJ,85338
UBU,96413
LNK,18567
ELV,42102
MLJ,65527
OZW,14478
NGV,92178
DIX,52701
LIS,79666
RZV,34396
GUQ,66352
LGY,89726
LOH,71631
CPI,41600
RUJ,34767
NVO,91936
LCT,45241
TGY,99098
MPT,12842
DDN,24988
BRO,22740
QXY,70938
RWJ,72859
BGW,94137
JMG,90342
TBR,78109
QZN,3245
QUC,59481
ZMI,77192
TLO,27235
LFY,37530
QWW,2600
SBN,69983
TGO,60157
NSV,51103
LJX,8289
HEX,3146
KGI,41798
ISV,21962
GHJ,53178
RGC,91092
LPG,24698
LGZ,51793
BTJ,69533
IUM,50022
JTN,44224
GSY,13364
SCY,7756
QZR,93861
SAC,62855
FOS,85043
ZBN,14883
KJN,18172
SGF,24303
WGB,33061
SHN,81434
GYW,71439
SWO,2436
ZXG,99745
OLD,82442
GTH,98730
AGG,25688
UNA,73136
FYM,57570
MTQ,94888
CND,15450
DUM,54454
PVK,44702
YIU,72922
GDC,21088
DOO,39051
LYE,50367
UVS,77901
NDK,58757
UYH,35345
HHM,56728
FBL,15352
NIE,17559
CBT,9138
LFC,96905
GCX,15410
VXI,99295
AIO,89550
NAZ,88557
AWM,11028
IWB,76706
QIB,93566
IQV,53380
ODL,49591
JNO,84906
LXS,56067
IJE,73805
PXS,54015
TJD,35684
IAV,47929
YBJ,52508
NMM,46144
YBY,39015
KHR,96208
RJC,14681
YCC,70554
TDT,98590
VLO,64489
YMH,91820
HWX,70619
QUS,87606
TUB,96196
DEH,21294
AAG,85400
AAP,40024
EGS,13685
ZGT,47537
BDZ,97991
EJT,79246
SSY,94510
DIN,54458
VRR,25470
MFZ,37017
WQO,68469
LNS,12263
LEO,71829
SGK,54367
PHY,41770
NKY,83107
CGK,57047
PST,32874
LXG,70183
WEF,78783
LTN,28599
HNA,25817
RTX,34965
LXO,9104
AHP,52651
VZA,59346
AUW,72480
AJV,70964
ZGP,12634
KYS,74797
ZMJ,17715
UFH,24326
HVT,87113
ZPG,5152
BZI,48206
HYZ,1753
IBX,16889
CWN,44975
CPJ,89711
BZO,53998
LFK,43118
BCZ,71486
ZMM,65179
VOI,18120
UTO,33063
NDO,42194
BNA,26306
PHW,66562
CWK,50487
NHF,64042
CCW,77886
KYK,87896
FJN,77909
SHO,6313
ACN,18402
UDE,77383
XSE,82892
JDI,64307
XDI,84058
AMY,33102
LLJ,54519
WMN,93000
MEU,85028
THA,45594
NLX,50882
POV,67906
FHQ,67201
DXP,35809
JCF,50169
DYY,89264
FCX,83323
YWE,70774
VBE,27298
AHZ,70176
HYU,47001
QXQ,81321
CUX,9746
QVB,6666
NPZ,51663
